route_id,start_location,stop_1,stop_2,stop_3,end_location,vehicle_type,travel_date,depart_time,manager_name
DEMO-023,Ludhiana,,,,"Chandigarh City Center, Zirakpur",4W,2026-01-15,09:00,
DEMO-024,Shyamnagar,,,,"Manipal Hospital, Kalyani",4W,,09:00,
DEMO-025,Ludhiana,Lalru,Kalka,,Patiala,4W,2026-08-05,10:15,
DEMO-026,Ambala,"Danone Nutricia India Plant, Lalru",,,Banur,4W,2026-08-05,09:00,
DEMO-027,Shyamnagar,Kakinara,,,Kalyani,4W,2026-10-12,14:00,
DEMO-028,Patiala,Kurali,Rupnagar,Chandigarh,Dera Bassi,2W,2026-12-20,07:30,
DEMO-029,Dera Bassi,Rajpura,Panchkula,,Sirhind,4W,2026-03-10,16:30,
DEMO-030,Kalyani North,Shyamnagar,,,Kalyani,2W,2026-12-20,14:00,
DEMO-031,Shimla,Baddi,,,Patiala,4W,,10:15,
DEMO-032,Khanna,Banur,,,Chandigarh,4W,2026-07-22,10:15,
DEMO-033,Barrackpore,Shyamnagar,Ranaghat,,Madanpur,2W,2026-03-10,16:30,
DEMO-034,Mohali,Banur,"Paras Downtown, Zirakpur",Kurali,Mohali,4W,2026-10-12,09:00,
DEMO-035,Banur,Khanna,Panchkula,,Lalru,4W,2026-08-05,07:30,
DEMO-036,Pyraganda,Kakinara,Jagaddal,,Kalyani Junction,4W,2026-07-22,10:15,
DEMO-037,Mohali,Ambala,,,"Paras Downtown, Zirakpur",4W,2026-08-05,10:15,
DEMO-038,Dera Bassi,"Paras Downtown, Zirakpur",,,Patiala,4W,2026-07-22,07:30,
DEMO-039,Kakinara,Naihati,,,Pyraganda,4W,2026-08-05,,
DEMO-040,Mohali,Kurali,,,Lalru,4W,,09:00,
DEMO-041,Kurali,Mohali,Panchkula,,Kharar,4W,,14:00,
DEMO-042,Kakinara,Kalyani North,Barasat,Kalyani,Kalyani Junction,4W,2026-07-22,16:30,
DEMO-043,Baddi,Kalka,Ludhiana,Solan,Zirakpur,4W,2026-01-15,09:00,
DEMO-044,Panchkula,Rajpura,Khanna,,Zirakpur,4W,2026-01-15,14:00,
DEMO-045,Kalyani Junction,Ranaghat,Naihati,,,4W,,,
DEMO-046,Sirhind,Ambala,,,Shimla,2W,,10:15,
DEMO-047,"Paras Downtown, Zirakpur",,,,Banur,4W,,10:15,
DEMO-048,Barrackpore,Ranaghat,Kalyani Junction,,Palpara,4W,2026-03-10,07:30,
DEMO-049,Solan,"SBP Housing Park Society, Derabassi",Sirhind,,Rajpura,4W,,16:30,
DEMO-050,Khanna,,,,Rajpura,2W,2026-12-20,,
DEMO-051,Kalyani North,,,,Kalyani North,4W,2026-12-20,,
DEMO-052,Kharar,Panchkula,,,Ambala,2W,2026-07-22,14:00,
DEMO-053,Kharar,Panchkula,,,Chandigarh,2W,2026-10-12,10:15,
DEMO-054,Palpara,Barrackpore,Ranaghat,,"Manipal Hospital, Kalyani",4W,2026-01-15,10:15,
DEMO-055,Rajpura,Pinjore,,,Kalka,4W,,09:00,
DEMO-056,Panchkula,Banur,,,Pinjore,2W,2026-03-10,07:30,
DEMO-057,Kalyani Junction,Jagaddal,Kakinara,Kalyani,Madanpur,4W,2026-12-20,09:00,
DEMO-058,Rupnagar,Kharar,,,Sirhind,4W,2026-01-15,14:00,
DEMO-059,Shimla,Rajpura,Khanna,,Patiala,4W,,10:15,
DEMO-060,Ranaghat,Palpara,Pyraganda,,Shyamnagar,2W,2026-07-22,07:30,
DEMO-061,Mohali,,,,Rajpura,4W,2026-07-22,,
DEMO-062,Ambala,Kalka,,,"Paras Downtown, Zirakpur",4W,2026-07-22,,
DEMO-063,Barasat,Shyamnagar,,,Kalyani North,4W,2026-10-12,07:30,
DEMO-064,Ambala,Zirakpur,,,Lalru,4W,2026-07-22,,
DEMO-065,Ludhiana,Ambala,Zirakpur,,Rajpura,2W,2026-12-20,07:30,
DEMO-066,Kalyani North,Kalyani,Chakdah,Jagaddal,Palpara,4W,,,
DEMO-067,Panchkula,Kharar,,,Rupnagar,2W,2026-01-15,14:00,
DEMO-068,"Danone Nutricia India Plant, Lalru",,,,"Danone Nutricia India Plant, Lalru",4W,2026-03-10,09:00,
DEMO-069,Kalyani North,Barrackpore,"Manipal Hospital, Kalyani",Kakinara,Barasat,4W,2026-08-05,16:30,
DEMO-070,"SBP Housing Park Society, Derabassi",Panchkula,,,Baddi,4W,2026-03-10,10:15,
DEMO-071,Mohali,Panchkula,,,Kharar,4W,2026-12-20,,
DEMO-072,Kalyani,Kakinara,,,Naihati,2W,2026-08-05,,
DEMO-073,Rajpura,Dera Bassi,,,Kurali,4W,2026-07-22,14:00,
DEMO-074,Rupnagar,Chandigarh,,,Panchkula,4W,2026-07-22,14:00,
DEMO-075,Kalyani Junction,Jagaddal,Barrackpore,,Naihati,4W,2026-07-22,09:00,
DEMO-076,"SBP Housing Park Society, Derabassi",Rajpura,Kalka,,Baddi,4W,2026-03-10,,
DEMO-077,Rupnagar,Patiala,,,Lalru,4W,2026-01-15,14:00,
DEMO-078,Ranaghat,,Zirakpur,,"Manipal Hospital, Kalyani",2W,2026-03-10,14:00,
DEMO-079,Pinjore,Sirhind,"Danone Nutricia India Plant, Lalru",Ambala,Kharar,4W,2026-12-20,07:30,
DEMO-080,Mohali,Sirhind,Patiala,,Kharar,4W,,14:00,
DEMO-081,Pyraganda,Jagaddal,,,Barrackpore,4W,2026-01-15,10:15,
DEMO-082,Rupnagar,Khanna,,,"Chandigarh City Center, Zirakpur",4W,2026-01-15,10:15,
DEMO-083,Pinjore,"Chandigarh City Center, Zirakpur",,,Shimla,2W,2026-10-12,09:00,
DEMO-084,Kalyani North,Kakinara,,,Pyraganda,4W,2026-03-10,10:15,
DEMO-085,Rupnagar,Banur,,,Rupnagar,2W,2026-08-05,14:00,
DEMO-086,Khanna,Rupnagar,Kharar,Shimla,Mohali,4W,2026-01-15,,
DEMO-087,Barrackpore,Palpara,,,Pyraganda,4W,2026-07-22,,
DEMO-088,Chandigarh,Baddi,Kalka,,Lalru,4W,2026-01-15,09:00,
DEMO-089,Ludhiana,Kalka,Baddi,Mohali,Rupnagar,4W,2026-07-22,09:00,
DEMO-090,Kalyani North,Ranaghat,,,Barasat,4W,2026-03-10,,
DEMO-091,"SBP Housing Park Society, Derabassi",Sirhind,,,Banur,2W,2026-07-22,07:30,
DEMO-092,Chandigarh,"Danone Nutricia India Plant, Lalru",,,Solan,2W,2026-03-10,14:00,
DEMO-093,Barasat,Chakdah,,,Shyamnagar,4W,2026-08-05,16:30,
DEMO-094,Patiala,Banur,,,Khanna,4W,2026-07-22,,
DEMO-095,Solan,Lalru,Baddi,Panchkula,Ambala,2W,2026-03-10,07:30,
DEMO-096,Ranaghat,Palpara,Barrackpore,,Madanpur,4W,2026-07-22,10:15,
DEMO-097,Khanna,Rajpura,Banur,Shimla,Pinjore,2W,2026-12-20,14:00,
DEMO-098,Dera Bassi,"Chandigarh City Center, Zirakpur",Rajpura,,"SBP Housing Park Society, Derabassi",4W,2026-10-12,09:00,
DEMO-099,Kalyani North,Naihati,Kakinara,,Kalyani Junction,2W,2026-01-15,16:30,
DEMO-100,Panchkula,Patiala,Banur,Chandigarh,Kurali,4W,2026-01-15,10:15,
DEMO-101,Kurali,Rupnagar,"Paras Downtown, Zirakpur",,Sirhind,2W,2026-08-05,07:30,
DEMO-102,Atlantis Business Park,Shyamnagar,,,Madanpur,4W,2026-03-10,10:15,
DEMO-103,"Chandigarh City Center, Zirakpur",,,,Zirakpur,2W,2026-03-10,,
DEMO-104,Shimla,Pinjore,,,"Chandigarh City Center, Zirakpur",4W,2026-07-22,14:00,
DEMO-105,Madanpur,,,,Naihati,4W,2026-10-12,10:15,
DEMO-106,Sirhind,,,,Lalru,4W,2026-12-20,14:00,
DEMO-107,Kharar,Kurali,Khanna,,Rajpura,2W,2026-12-20,09:00,
DEMO-108,Jagaddal,Pyraganda,,,Kakinara,4W,2026-07-22,10:15,
DEMO-109,Baddi,Khanna,Panchkula,,Rajpura,4W,2026-10-12,10:15,
DEMO-110,Kharar,Sirhind,Kalka,,Kurali,4W,2026-03-10,14:00,
DEMO-111,Chakdah,Kakinara,Ranaghat,,Jagaddal,4W,2026-12-20,14:00,
DEMO-112,Rupnagar,"Danone Nutricia India Plant, Lalru",,,Dera Bassi,2W,,10:15,
DEMO-113,Chandigarh,Dera Bassi,,,Kharar,2W,,14:00,
DEMO-114,Kalyani,"Manipal Hospital, Kalyani",,,Barrackpore,4W,2026-10-12,10:15,
DEMO-115,Zirakpur,Mohali,,,Chandigarh,4W,2026-12-20,09:00,
DEMO-116,Ludhiana,Sirhind,Ambala,,Rajpura,4W,,07:30,
DEMO-117,Kalyani North,Ranaghat,Barasat,,Kalyani,4W,2026-12-20,,
DEMO-118,Ludhiana,Patiala,,,Kalka,4W,2026-01-15,,
DEMO-119,Pinjore,,,,Pinjore,2W,2026-08-05,14:00,
DEMO-120,Barrackpore,Palpara,,,Chakdah,2W,2026-07-22,,
